Feature,Precision,Recall
admirable / JJ,0.375,0.0011254924
admirably,0.3333333333,0.0003751641
admirably / RB,0.3333333333,0.0003751641
admire,0.3333333333,0.0007503283
admire / VB,0.2857142857,0.0003751641
admire / VBP,0.4,0.0003751641
admission,0.5714285714,0.0007503283
admission / NN,0.5714285714,0.0007503283
admit,0.5,0.0009379103
admit / VB,0.4444444444,0.0007503283
admittedly,0.4,0.0003751641
admittedly / RB,0.4,0.0003751641
adolescent,0.3333333333,0.0009379103
adolescent / JJ,0.3333333333,0.0009379103
adult,0.3125,0.0009379103
adult / JJ,0.2142857143,0.0005627462
adults,0.4516129032,0.0026261489
adults / NNS,0.4516129032,0.0026261489
advance,1,0.0009379103
advantage,0.7142857143,0.0009379103
advantage / NN,0.7142857143,0.0009379103
adventure,0.3181818182,0.0026261489
adventure / NN,0.3181818182,0.0026261489
adventures,0.7142857143,0.0009379103
adventures / NNS,0.7142857143,0.0009379103
adventurous,0.1666666667,0.0001875821
adventurous / JJ,0.1666666667,0.0001875821
advice,1,0.0013130745
advice / NN,1,0.0013130745
affair,0.6842105263,0.0024385669
affair / NN,0.6842105263,0.0024385669
affecting,0.1,0.0003751641
affecting / VBG,0.1,0.0003751641
affection,0.1764705882,0.0005627462
affection / NN,0.1764705882,0.0005627462
affleck,0.75,0.0011254924
affleck / NNP,0.75,0.0011254924
aficionados,0.2,0.0001875821
afloat,0.4285714286,0.0005627462
afloat / RB,0.4285714286,0.0005627462
afraid,0.4545454545,0.0009379103
afraid / JJ,0.4545454545,0.0009379103
african,0.2,0.0001875821
african / JJ,0.2,0.0001875821
after,0.6018518519,0.0121928344
after / IN,0.6074766355,0.0121928344
after-school,0.8181818182,0.0016882386
after-school / JJ,0.8181818182,0.0016882386
afternoon,0.5,0.0005627462
afternoon / NN,0.5,0.0005627462
again,0.5432098765,0.008253611
again / RB,0.5432098765,0.008253611
against,0.3658536585,0.002813731
against / IN,0.3658536585,0.002813731
age,0.3448275862,0.0018758207
age / NN,0.3448275862,0.0018758207
agent,0.5,0.0005627462
agent / NN,0.4,0.0003751641
ages,0.0588235294,0.0001875821
ages / NNS,0.0588235294,0.0001875821
aggressively,0.5714285714,0.0007503283
aggressively / RB,0.5714285714,0.0007503283
aging,0.1428571429,0.0001875821
aging / NN,0.2,0.0001875821
ago,0.64,0.0030013131
ago / IN,0.4,0.0003751641
ago / RB,0.7,0.0026261489
ah,0.5714285714,0.0007503283
ahead,0.2222222222,0.0003751641
ahead / RB,0.2222222222,0.0003751641
ai,0.6666666667,0.0011254924
ai / VBP,0.6666666667,0.0011254924
aim,0.4,0.0003751641
aimed,0.25,0.0003751641
aimed / VBN,0.25,0.0003751641
aimless,0.8,0.0007503283
aimless / JJ,0.8,0.0007503283
aims,0.5,0.0007503283
aims / VBZ,0.5,0.0005627462
air,0.4,0.0022509848
air / NN,0.4137931034,0.0022509848
akin,0.4,0.0003751641
akin / JJ,0.4,0.0003751641
al,0.5,0.0005627462
alabama,0.4,0.0007503283
alabama / NNP,0.4,0.0007503283
alan,0,0
alan / NNP,0,0
alas,1,0.0015006565
alas / UH,1,0.0009379103
albeit,0.6,0.0005627462
albeit / IN,0.6,0.0005627462
album,0.4285714286,0.0005627462
album / NN,0.4285714286,0.0005627462
alert,0.4,0.0003751641
alice,0.2,0.0001875821
alice / NNP,0.2,0.0001875821
alienation,0.5,0.0005627462
alienation / NN,0.5,0.0005627462
aliens,0.1428571429,0.0001875821
aliens / NNS,0.1428571429,0.0001875821
alike,0.4,0.0003751641
alike / RB,0.4,0.0003751641
alive,0.3333333333,0.0013130745
alive / JJ,0.3333333333,0.0013130745
all,0.5441176471,0.0624648284
all / DT,0.5237020316,0.0435190396
all / PDT,0.5988372093,0.0193209529
all / RB,0.75,0.0011254924
allegory,0.5714285714,0.0007503283
allegory / NN,0.5714285714,0.0007503283
allen,0.5,0.0026261489
allen / NNP,0.5,0.0026261489
allow,0.4444444444,0.0007503283
allow / VBP,0.2857142857,0.0003751641
allowed,0.6666666667,0.0007503283
allowed / VBN,0.6,0.0005627462
allowing,0.2,0.0001875821
allowing / VBG,0.2,0.0001875821
allows,0.15,0.0005627462
allows / VBZ,0.15,0.0005627462
almost,0.576,0.0135059088
almost / RB,0.576,0.0135059088
alone,0.5,0.0026261489
alone / RB,0.5,0.0026261489
along,0.5094339623,0.0050647158
along / IN,0.5227272727,0.0043143875
along / RB,0.1666666667,0.0001875821
already,0.8139534884,0.0065653724
already / RB,0.8139534884,0.0065653724
also,0.3666666667,0.0103170137
also / RB,0.3666666667,0.0103170137
alternately,0.25,0.0003751641
alternately / RB,0.25,0.0003751641
alternative,0.4285714286,0.0005627462
although,0.393442623,0.0045019696
although / IN,0.393442623,0.0045019696
altogether,0.4285714286,0.0005627462
altogether / RB,0.4285714286,0.0005627462
always,0.2602739726,0.0035640593
always / RB,0.2602739726,0.0035640593
am,0.4166666667,0.0009379103
am / VBP,0.4545454545,0.0009379103
amateurish,0.9230769231,0.0022509848
amateurish / JJ,0.9230769231,0.0022509848
amazing,0.15,0.0005627462
amazing / JJ,0.15,0.0005627462
amazingly,0.5,0.0007503283
amazingly / RB,0.5,0.0007503283
ambiguity,0,0
ambiguity / NN,0,0
ambiguous,0.5,0.0005627462
ambiguous / JJ,0.5,0.0005627462
ambition,0.7272727273,0.0015006565
ambition / NN,0.7272727273,0.0015006565
ambitions,0.8333333333,0.0009379103
ambitions / NNS,0.8333333333,0.0009379103
ambitious,0.4137931034,0.0022509848
ambitious / JJ,0.4137931034,0.0022509848
america,0.2413793103,0.0013130745
america / NNP,0.2413793103,0.0013130745
american,0.3669724771,0.0075032827
american / JJ,0.3695652174,0.0063777903
american / NNP,0.3529411765,0.0011254924
americans,0.4545454545,0.0009379103
americans / NNPS,0.4444444444,0.0007503283
amiable,0.3333333333,0.0003751641
amiable / JJ,0.3333333333,0.0003751641
amid,0.6666666667,0.0011254924
amid / IN,0.6666666667,0.0011254924
among,0.303030303,0.0018758207
among / IN,0.303030303,0.0018758207
amount,0.5416666667,0.0024385669
amount / NN,0.5217391304,0.0022509848
amounts,0.6666666667,0.0011254924
amounts / VBZ,1,0.0009379103
amuse,0.3333333333,0.0003751641
amuse / VB,0.3333333333,0.0003751641
amused,0.3636363636,0.0007503283
amused / VBN,0.3636363636,0.0007503283
amusing,0.4482758621,0.0048771337
amusing / JJ,0.4482758621,0.0048771337
amy,0.4285714286,0.0005627462
amy / NNP,0.4285714286,0.0005627462
an,0.4256,0.0997936597
an / DT,0.4256,0.0997936597
anachronistic,0.5,0.0005627462
anachronistic / JJ,0.5,0.0005627462
analyze,0.5454545455,0.0011254924
analyze / VBP,0.375,0.0005627462
ancient,0,0
ancient / JJ,0,0
and,0.4424131627,0.4085537423
and / CC,0.4424131627,0.4085537423
and/or,0.4,0.0003751641
and/or / CC,0.4,0.0003751641
anderson,0.2857142857,0.0003751641
anderson / NNP,0.2857142857,0.0003751641
anemic,1,0.0009379103
anemic / JJ,1,0.0009379103
angel,0.3333333333,0.0003751641
angel / NNP,0.3333333333,0.0003751641
angels,0.6666666667,0.0007503283
anger,0.4285714286,0.0005627462
anger / NN,0.4285714286,0.0005627462
angle,0.6,0.0005627462
angle / NN,0.6,0.0005627462
angry,0.4285714286,0.0005627462
angry / JJ,0.4285714286,0.0005627462
angst,0.2857142857,0.0007503283
angst / NN,0.2857142857,0.0007503283
anguish,0.2,0.0001875821
anguish / NN,0.2,0.0001875821
animal,0.9166666667,0.0020634027
animal / NN,0.9,0.0016882386
animals,0.4,0.0003751641
animals / NNS,0.4,0.0003751641
animated,0.21875,0.0013130745
animated / JJ,0.21875,0.0013130745
animation,0.5,0.0037516413
animation / NN,0.5,0.0037516413
anime,0.1428571429,0.0001875821
anime / NN,0.1428571429,0.0001875821
anne,0.6666666667,0.0011254924
anne / NNP,0.6666666667,0.0011254924
annoying,0.9375,0.002813731
annoying / JJ,0.9375,0.002813731
anomie,0.6,0.0005627462
anomie / NN,0.6,0.0005627462
another,0.6462585034,0.0178202964
another / DT,0.6462585034,0.0178202964
answer,0.8571428571,0.0011254924
answer / NN,0.8571428571,0.0011254924
answers,0.0909090909,0.0001875821
answers / NNS,0.0909090909,0.0001875821
anthony,0.7777777778,0.0013130745
anthony / NNP,0.7777777778,0.0013130745
antics,0.3333333333,0.0003751641
antics / NNS,0.3333333333,0.0003751641
antidote,0.2,0.0001875821
antidote / NN,0.2,0.0001875821
antwone,0.4285714286,0.0005627462
antwone / NNP,0.4285714286,0.0005627462
any,0.56,0.0236353405
any / DT,0.5580357143,0.0234477584
anybody,0.4285714286,0.0005627462
anybody / NN,0.4285714286,0.0005627462
anyone,0.595505618,0.0099418496
anyone / NN,0.595505618,0.0099418496
anything,0.6447368421,0.0091915213
anything / NN,0.6447368421,0.0091915213
anyway,0.5,0.0009379103
anyway / RB,0.5,0.0009379103
anywhere,0.6,0.0011254924
anywhere / RB,0.6,0.0011254924
apart,0.44,0.0020634027
apart / RB,0.44,0.0020634027
appalling,0.8333333333,0.0009379103
appalling / JJ,0.8333333333,0.0009379103
apparent,0.8181818182,0.0016882386
apparent / JJ,0.8181818182,0.0016882386
apparently,0.9333333333,0.0026261489
apparently / RB,0.9333333333,0.0026261489
appeal,0.4285714286,0.002813731
appeal / NN,0.4761904762,0.0018758207
appeal / VB,0.3571428571,0.0009379103
appealing,0.2903225806,0.0016882386
appealing / JJ,0.3,0.0011254924
appealing / VBG,0.2727272727,0.0005627462
appear,0.5454545455,0.0011254924
appear / VB,0.5,0.0005627462
appear / VBP,0.6,0.0005627462
appears,0.6956521739,0.0030013131
appears / VBZ,0.6956521739,0.0030013131
appetite,0.4,0.0003751641
appetite / NN,0.4,0.0003751641
apply,0.5,0.0007503283
apply / VB,0.5,0.0007503283
appreciate,0.3076923077,0.0007503283
appreciate / VB,0.2727272727,0.0005627462
appreciated,0.4,0.0003751641
appreciated / VBN,0.4,0.0003751641
appreciation,0.6,0.0005627462
appreciation / NN,0.6,0.0005627462
approach,0.5428571429,0.0035640593
approach / NN,0.5428571429,0.0035640593
appropriate,0.625,0.0009379103
appropriate / JJ,0.625,0.0009379103
arc,0.4,0.0003751641
arc / NNP,0.4,0.0003751641
archival,0.6,0.0005627462
archival / JJ,0.6,0.0005627462
are,0.506456241,0.0662164697
are / VBP,0.506456241,0.0662164697
area,0.6,0.0005627462
area / NN,0.6,0.0005627462
argue,0.1666666667,0.0001875821
argue / VB,0.2,0.0001875821
arguments,0.5,0.0005627462
arguments / NNS,0.5,0.0005627462
arnold,0.8,0.0022509848
arnold / NNP,0.8,0.0022509848
around,0.552238806,0.0069405365
around / IN,0.56,0.0052522979
around / RB,0.5454545455,0.0011254924
around / RP,0.5,0.0005627462
arresting,0,0
arresting / VBG,0,0
arrive,0.5,0.0005627462
arrives,0.6666666667,0.0011254924
arrives / VBZ,0.6666666667,0.0011254924
art,0.3913043478,0.0050647158
art / NN,0.3442622951,0.0039392234
art / NNP,0.75,0.0011254924
art-house,0.3333333333,0.0003751641
artful,0.1666666667,0.0001875821
artful / JJ,0.1666666667,0.0001875821
artfully,0.1428571429,0.0001875821
artfully / RB,0.1428571429,0.0001875821
articulate,0.4,0.0003751641
artifice,0.625,0.0009379103
artifice / NN,0.625,0.0009379103
artificial,0.8181818182,0.0016882386
artificial / JJ,0.8181818182,0.0016882386
artist,0.25,0.0013130745
artist / NN,0.2727272727,0.0011254924
artist / NNP,0.1666666667,0.0001875821
artistic,0.375,0.0011254924
artistic / JJ,0.375,0.0011254924
artists,0.25,0.0005627462
artists / NNS,0.25,0.0005627462
arts,0.875,0.0013130745
arts / NNS,0.875,0.0013130745
artsy,0.6666666667,0.0007503283
artsy / JJ,0.6666666667,0.0007503283
arty,0.8,0.0007503283
arty / NNP,0.8,0.0007503283
as,0.516509434,0.1232414181
as / IN,0.5098039216,0.1170512099
as / RB,0.5180722892,0.0161320578
asian,0.25,0.0003751641
asian / JJ,0.25,0.0003751641
aside,0.5789473684,0.0020634027
aside / RB,0.5789473684,0.0020634027
ask,0.8333333333,0.0018758207
ask / VB,0.8181818182,0.0016882386
asks,0.3846153846,0.0009379103
asks / VBZ,0.3846153846,0.0009379103
aspects,0.1538461538,0.0003751641
aspects / NNS,0.1538461538,0.0003751641
aspirations,0.5714285714,0.0007503283
aspirations / NNS,0.5714285714,0.0007503283
aspires,0.8,0.0007503283
aspires / VBZ,0.8,0.0007503283
assassin,0.25,0.0003751641
assassin / NN,0.25,0.0003751641
assembled,0.8333333333,0.0009379103
assembled / VBN,0.8333333333,0.0009379103
assured,0.1538461538,0.0003751641
assured / VBN,0.1538461538,0.0003751641
astonishing,0.3636363636,0.0007503283
astonishing / JJ,0.3636363636,0.0007503283
astonishingly,0.4285714286,0.0005627462
astonishingly / RB,0.4285714286,0.0005627462
astounding,0.2,0.0001875821
astounding / JJ,0.2,0.0001875821
at,0.4738415546,0.0594635153
at / IN,0.4738415546,0.0594635153
athletes,0.3333333333,0.0003751641
athletes / NNS,0.3333333333,0.0003751641
atmosphere,0.45,0.0016882386
atmosphere / NN,0.45,0.0016882386
attal,0.5555555556,0.0009379103
attal / NNP,0.5,0.0005627462
attempt,0.7619047619,0.0060026261
attempt / NN,0.775,0.0058150441
attempts,0.7916666667,0.0035640593
attempts / NNS,0.8888888889,0.0030013131
attempts / VBZ,0.5,0.0005627462
attention,0.5,0.0030013131
attention / NN,0.5,0.0030013131
attitude,0.3,0.0005627462
attitude / NN,0.3,0.0005627462
attract,0.8,0.0007503283
attraction,0.6470588235,0.0020634027
attraction / NN,0.6470588235,0.0020634027
attractive,0.375,0.0005627462
attractive / JJ,0.375,0.0005627462
audacious,0.2857142857,0.0003751641
audacious / JJ,0.2857142857,0.0003751641
audacity,0.4,0.0003751641
audacity / NN,0.4,0.0003751641
audience,0.5369127517,0.0150065654
audience / NN,0.5369127517,0.0150065654
audiences,0.5111111111,0.0043143875
audiences / NNS,0.5111111111,0.0043143875
austin,0.4166666667,0.0009379103
austin / NNP,0.4166666667,0.0009379103
authentic,0.4,0.0011254924
authentic / JJ,0.4,0.0011254924
authenticity,0.8,0.0007503283
authenticity / NN,0.8,0.0007503283
author,0.625,0.0009379103
author / NN,0.625,0.0009379103
authority,0.2857142857,0.0003751641
authority / NN,0.2857142857,0.0003751641
auto,0.1666666667,0.0001875821
auto / NN,0.1666666667,0.0001875821
avary,1,0.0013130745
avary / NNP,1,0.0009379103
average,0.4761904762,0.0018758207
average / JJ,0.4736842105,0.0016882386
avoid,0.6470588235,0.0020634027
avoid / VB,0.6875,0.0020634027
avoids,0.3333333333,0.0005627462
avoids / VBZ,0.3333333333,0.0005627462
award,0.6,0.0005627462
award / NN,0.6,0.0005627462
awards,0.2,0.0001875821
aware,0,0
aware / JJ,0,0
away,0.5256410256,0.0076908648
away / RB,0.5454545455,0.0067529544
away / RP,0.4166666667,0.0009379103
awe,0.6666666667,0.0007503283
awe / NN,0.8,0.0007503283
awesome,0.1666666667,0.0001875821
awesome / JJ,0.1666666667,0.0001875821
awful,0.7586206897,0.0041268055
awful / JJ,0.7586206897,0.0041268055
awfully,0.6666666667,0.0007503283
awfully / RB,0.6666666667,0.0007503283
awkward,0.7058823529,0.0022509848
awkward / JJ,0.7058823529,0.0022509848
awkwardly,1,0.0009379103
awkwardly / RB,1,0.0009379103
b,0.35,0.0013130745
b / NN,0.3125,0.0009379103
b-movie,0.4666666667,0.0013130745
b-movie / JJ,0.4285714286,0.0005627462
b-movie / NN,0.5,0.0007503283
baby,0.4,0.0003751641
baby / NN,0.4,0.0003751641
back,0.5104166667,0.0091915213
back / NN,0.4,0.0003751641
back / RB,0.5060240964,0.0078784468
backdrop,0.2,0.0001875821
backdrop / NN,0.2,0.0001875821
background,0.5454545455,0.0011254924
background / NN,0.5454545455,0.0011254924
bad,0.8653846154,0.0337647721
bad / JJ,0.8653846154,0.0337647721
badly,1,0.0043143875
badly / RB,1,0.0043143875
baffling,0.7777777778,0.0013130745
baffling / JJ,0.875,0.0013130745
bag,0.8333333333,0.0018758207
bag / NN,0.8333333333,0.0018758207
balance,0.3888888889,0.0013130745
balance / NN,0.25,0.0005627462
balance / VB,0.6666666667,0.0007503283
balanced,0.1666666667,0.0001875821
balanced / JJ,0.2,0.0001875821
ball,0.6666666667,0.0007503283
ball / NN,0.6666666667,0.0007503283
ballistic,1,0.0018758207
ballistic / JJ,1,0.0018758207
ballot,0.1666666667,0.0001875821
ballot / NN,0.1666666667,0.0001875821
banal,0.9230769231,0.0022509848
banal / JJ,0.9230769231,0.0022509848
band,0.2666666667,0.0007503283
band / NN,0.2666666667,0.0007503283
banter,0.5,0.0005627462
banter / NN,0.5,0.0005627462
bar,0.8333333333,0.0009379103
bar / NN,0.8333333333,0.0009379103
barbershop,0.4285714286,0.0011254924
barbershop / NN,0.5,0.0011254924
bard,0.5714285714,0.0007503283
bard / NNP,0.5714285714,0.0007503283
barely,0.7941176471,0.0050647158
barely / RB,0.7941176471,0.0050647158
barney,0.8,0.0007503283
barney / NNP,0.8,0.0007503283
barrel,0.8,0.0007503283
barrel / NN,0.8,0.0007503283
barry,0.5,0.0013130745
barry / NNP,0.5,0.0013130745
bartleby,0.7777777778,0.0013130745
bartleby / NNP,0.8571428571,0.0011254924
base,0.4,0.0003751641
base / NN,0.4,0.0003751641
baseball,0.2,0.0001875821
baseball / NN,0.2,0.0001875821
based,0.4814814815,0.0024385669
based / VBN,0.4814814815,0.0024385669
basic,0.5,0.0011254924
basic / JJ,0.5,0.0011254924
basically,0.8,0.0015006565
basically / RB,0.8,0.0015006565
basis,0.5714285714,0.0007503283
basis / NN,0.5714285714,0.0007503283
basketball,0.6,0.0005627462
basketball / NN,0.6,0.0005627462
battle,0.45,0.0016882386
battle / NN,0.45,0.0016882386
be,0.5419501134,0.0896642281
be / VB,0.5419501134,0.0896642281
beach,0.4285714286,0.0005627462
bear,1,0.0009379103
bears,0.8947368421,0.0031888951
bears / NNS,1,0.0009379103
bears / VBZ,0.8,0.0015006565
beast,0.2857142857,0.0003751641
beast / NN,0.2857142857,0.0003751641
beat,0.5,0.0015006565
beat / NN,0.4285714286,0.0005627462
beat / VB,0.4285714286,0.0005627462
beautiful,0.1666666667,0.0016882386
beautiful / JJ,0.1666666667,0.0016882386
beautifully,0.1851851852,0.0018758207
beautifully / RB,0.1851851852,0.0018758207
beauty,0.0967741935,0.0005627462
beauty / NN,0.1034482759,0.0005627462
became,0.6,0.0005627462
became / VBD,0.6,0.0005627462
because,0.4351145038,0.0106921778
because / IN,0.4375,0.0105045958
become,0.4905660377,0.0048771337
become / VB,0.5357142857,0.002813731
become / VBN,0.3333333333,0.0009379103
become / VBP,0.6363636364,0.0013130745
becomes,0.6779661017,0.0075032827
becomes / VBZ,0.6779661017,0.0075032827
becoming,0.4285714286,0.0011254924
becoming / VBG,0.4285714286,0.0011254924
been,0.628458498,0.0298255487
been / VBN,0.628458498,0.0298255487
before,0.6261682243,0.0125679985
before / IN,0.6111111111,0.0103170137
before / RB,0.7058823529,0.0022509848
begin,0.875,0.0013130745
begin / VB,0.8,0.0007503283
beginning,0.5,0.0013130745
beginning / NN,0,0
beginning / VBG,0.7777777778,0.0013130745
begins,0.4516129032,0.0026261489
begins / VBZ,0.4516129032,0.0026261489
beguiling,0.1428571429,0.0001875821
beguiling / JJ,0.1428571429,0.0001875821
behan,0.5714285714,0.0007503283
behan / NNP,0.5714285714,0.0007503283
behavior,0.5294117647,0.0016882386
behavior / NN,0.5294117647,0.0016882386
behind,0.59375,0.0035640593
behind / IN,0.5806451613,0.0033764772
behold,0.125,0.0001875821
behold / VB,0.125,0.0001875821
